URL_ID,avg_words_per_sentence
Netclan20241024,16.733333333333334
Netclan20241030,29.444444444444443
Netclan20241018,29.923076923076923
Netclan20241150,85.0
Netclan20241144,34.4
Netclan20241145,17.714285714285715
Netclan20241151,37.75
Netclan20241019,16.733333333333334
Netclan20241031,38.68421052631579
Netclan20241025,52.285714285714285
Netclan20241033,19.93617021276596
Netclan20241027,49.666666666666664
Netclan20241147,22.555555555555557
Netclan20241153,20.0
Netclan20241152,50.333333333333336
Netclan20241146,53.6
Netclan20241026,20.942307692307693
Netclan20241032,13.0
Netclan20241036,21.9375
Netclan20241022,32.25
Netclan20241142,28.75
Netclan20241156,19.5
Netclan20241157,31.0
Netclan20241143,23.846153846153847
Netclan20241023,29.923076923076923
Netclan20241037,56.666666666666664
Netclan20241021,12.878787878787879
Netclan20241035,14.102564102564102
Netclan20241155,55.666666666666664
Netclan20241141,33.72727272727273
Netclan20241140,47.0
Netclan20241154,83.0
Netclan20241034,20.714285714285715
Netclan20241020,52.285714285714285
Netclan20241084,20.416666666666668
Netclan20241090,41.0
Netclan20241047,23.875
Netclan20241053,14.225
Netclan20241133,25.38235294117647
Netclan20241127,52.333333333333336
Netclan20241126,65.2
Netclan20241132,26.647058823529413
Netclan20241052,12.979591836734693
Netclan20241046,17.296296296296298
Netclan20241091,22.8
Netclan20241085,19.076923076923077
Netclan20241093,35.333333333333336
Netclan20241087,21.6
Netclan20241050,23.0
Netclan20241044,20.695652173913043
Netclan20241078,23.0
Netclan20241124,45.0
Netclan20241130,68.5
Netclan20241118,95.5
Netclan20241119,41.142857142857146
Netclan20241131,43.4
Netclan20241125,17.818181818181817
Netclan20241079,61.0
Netclan20241045,16.846153846153847
Netclan20241051,19.339285714285715
Netclan20241086,46.4
Netclan20241092,24.727272727272727
Netclan20241096,65.2
Netclan20241082,30.142857142857142
Netclan20241069,11.083333333333334
Netclan20241055,14.481481481481481
Netclan20241041,60.0
Netclan20241109,20.448275862068964
Netclan20241121,14.5
Netclan20241135,50.0
Netclan20241134,29.235294117647058
Netclan20241120,32.2
Netclan20241108,21.555555555555557
Netclan20241040,58.0
Netclan20241054,18.076923076923077
Netclan20241068,17.0
Netclan20241083,23.166666666666668
Netclan20241097,14.8125
Netclan20241081,17.3
Netclan20241095,21.272727272727273
Netclan20241042,63.0
Netclan20241056,13.545454545454545
Netclan20241136,114.0
Netclan20241122,15.0
Netclan20241123,25.666666666666668
Netclan20241137,55.5
Netclan20241057,31.363636363636363
Netclan20241043,16.0
Netclan20241094,33.166666666666664
Netclan20241080,14.571428571428571
Netclan20241099,51.25
Netclan20241066,34.6
Netclan20241072,21.6
Netclan20241112,40.25
Netclan20241106,64.33333333333333
Netclan20241107,104.5
Netclan20241113,45.8
Netclan20241073,13.6875
Netclan20241067,14.458333333333334
Netclan20241098,47.666666666666664
Netclan20241071,21.6
Netclan20241065,34.4
Netclan20241059,14.333333333333334
Netclan20241105,15.705882352941176
Netclan20241111,23.1
Netclan20241139,92.0
Netclan20241138,43.666666666666664
Netclan20241110,60.666666666666664
Netclan20241104,16.6
Netclan20241058,11.642857142857142
Netclan20241064,91.75
Netclan20241070,10.722222222222221
Netclan20241048,25.0
Netclan20241074,13.923076923076923
Netclan20241060,9.555555555555555
Netclan20241128,17.53846153846154
Netclan20241100,80.0
Netclan20241114,22.428571428571427
Netclan20241115,52.333333333333336
Netclan20241101,194.0
Netclan20241129,84.5
Netclan20241061,10.095238095238095
Netclan20241075,49.0
Netclan20241049,19.085714285714285
Netclan20241088,20.153846153846153
Netclan20241063,31.75
Netclan20241077,27.666666666666668
Netclan20241117,31.857142857142858
Netclan20241103,15.071428571428571
Netclan20241102,78.0
Netclan20241116,34.8
Netclan20241076,24.5
Netclan20241062,11.877551020408163
Netclan20241089,15.066666666666666
Netclan20241039,59.666666666666664
Netclan20241159,48.5
Netclan20241158,32.416666666666664
Netclan20241038,62.0
Netclan20241017,32.25
Netclan20241163,24.5
Netclan20241162,124.0
Netclan20241028,67.0
Netclan20241148,30.857142857142858
Netclan20241160,25.75
Netclan20241161,27.375
Netclan20241149,55.666666666666664
Netclan20241029,36.285714285714285
